Abstract                              Taku Kataoka
1 Scalable Multi-Party Computation    Taku Kataoka
2 Plasma                              Taku Kataoka    Yuki Matsumoto
3 Design Stack and Smart Contracts    Sota Watanabe
4 Related Work                        Sota Watanabe
5 Multiparty Off-Chain State          Shogo Ochiai
6 Blockchains in Blockchains          Masaya Akimoto  Shogo Ochiai
7 Plasma Proof-of-Stake               Shogo Ochiai
8 Economic Incentives                 Shogo Ochiai
9 MapReduce for the Blockchain        Shogo Ochiai
10 Example Applications               Sota Watanabe
11 Attacks, Risks, and Mitigations    Shogo Ochiai
12 Future Research                    Shogo Ochiai
13 Conclusion and Summary             Shogo Ochiai
14 Acknowledgements                   Shogo Ochiai
